Floor,Price,Renovation,Year,Size,Elevator,Room,Hall,Id
6,260.0,2,1995,64.0,0.0,2,1.0,101102690183
8,850.0,1,2016,171.0,1.0,3,2.0,101102080088
6,430.0,2,2002,103.0,0.0,2,2.0,101102703922
6,298.0,2,1993,66.0,0.0,2,1.0,101101433664
6,200.0,2,1992,49.0,0.0,2,1.0,101101540908
6,311.0,0,2010,89.0,0.0,2,1.0,101102566183
6,620.0,3,2006,170.0,0.0,3,2.0,101100424153
4,155.0,2,1958,39.0,0.0,2,0.0,101102309958
6,649.0,0,2016,135.0,1.0,3,1.0,101101972274
6,248.0,2,1993,79.0,0.0,2,1.0,101101527534
14,279.0,3,2007,66.0,1.0,1,1.0,101102621574
24,380.0,2,2013,83.0,1.0,2,1.0,101102635701
21,398.0,3,2015,92.0,1.0,2,1.0,101102543259
19,945.0,1,2015,220.0,1.0,4,2.0,101101491879
8,750.0,3,2015,139.0,1.0,3,2.0,101102330203
23,442.0,0,2012,92.0,1.0,2,1.0,101102486899
6,420.0,3,2007,100.0,0.0,2,1.0,101102557753
7,178.0,2,1994,41.0,0.0,1,1.0,101102498202
26,440.0,0,2012,88.0,1.0,2,1.0,101102189053
6,240.0,2,2005,72.0,0.0,2,1.0,101102179375
24,436.0,2,2003,109.0,1.0,2,1.0,101100347709
4,600.0,1,2006,171.0,0.0,2,1.0,101101182644
3,2900.0,3,2013,656.0,1.0,5,4.0,101101896368
14,320.0,3,2004,82.0,1.0,1,1.0,101102183746
6,320.0,0,1997,96.0,0.0,2,1.0,101102704236
10,900.0,3,2014,127.0,1.0,4,2.0,101102215334
7,515.0,0,2004,139.0,0.0,3,2.0,101102656762
9,580.0,3,2012,129.0,1.0,3,1.0,101102730044
6,283.0,0,2010,89.0,0.0,2,1.0,101102538824
6,200.0,3,1980,61.0,0.0,3,1.0,101102290586
6,480.0,3,2006,133.0,0.0,4,2.0,101101971347
5,1300.0,1,2016,236.0,1.0,4,1.0,101102327268
5,2200.0,3,2013,541.0,1.0,4,3.0,101101891037
6,268.0,3,1996,88.0,0.0,2,1.0,101101241805
7,310.0,2,1999,93.0,0.0,2,1.0,101101950522
5,265.0,2,1970,65.0,0.0,3,1.0,101102228540
6,193.0,0,2009,48.0,0.0,1,0.0,101102465179
24,310.0,2,2003,82.0,1.0,1,1.0,101102081835
6,239.0,2,1992,63.0,0.0,2,1.0,101102515702
6,560.0,0,2014,117.0,1.0,3,1.0,101102489705
9,730.0,3,2015,140.0,1.0,3,1.0,101102535533
6,223.0,3,1992,66.0,0.0,2,1.0,101102047558
6,390.0,3,2003,101.0,0.0,2,2.0,101102093203
7,950.0,1,2015,140.0,1.0,3,2.0,101102656905
24,386.0,3,2013,83.0,1.0,2,1.0,101102742660
6,320.0,0,2003,89.0,0.0,2,1.0,101102745715
6,200.0,2,2009,47.0,0.0,1,0.0,101102441831
6,390.0,2,2001,102.0,0.0,3,1.0,101101873027
6,385.0,0,1995,104.0,0.0,3,1.0,101102263708
26,440.0,0,2012,91.0,1.0,2,1.0,101102375050
4,280.0,3,2007,76.0,0.0,2,1.0,101102510613
26,425.0,3,2012,92.0,1.0,2,1.0,101102601317
26,430.0,3,2012,91.0,1.0,2,1.0,101101609861
6,238.0,2,1982,56.0,0.0,2,1.0,101101477138
21,406.0,1,2015,92.0,1.0,2,1.0,101102546810
21,603.0,3,2015,140.0,1.0,3,2.0,101102485309
20,489.0,3,2011,99.0,1.0,2,1.0,101102239421
10,1100.0,3,2012,211.0,1.0,4,2.0,101102326918
26,410.0,3,2012,88.0,1.0,2,1.0,101102622866
6,400.0,2,2000,112.0,0.0,3,1.0,101102156384
7,528.0,3,2004,145.0,0.0,4,1.0,101102176364
10,660.0,3,2014,128.0,1.0,3,1.0,101102565280
6,715.0,0,2005,169.0,0.0,3,2.0,101102671395
23,390.0,3,2012,87.0,1.0,2,1.0,101102121879
6,340.0,0,1996,86.0,0.0,2,1.0,101102671530
23,417.0,3,2012,87.0,1.0,2,1.0,101102679856
20,505.0,2,2011,103.0,1.0,2,1.0,101102653182
6,245.0,0,1992,64.0,0.0,3,1.0,101102656557
6,360.0,0,1997,97.0,0.0,3,1.0,101102667698
14,198.0,3,2006,46.0,1.0,1,0.0,101102495332
6,239.0,0,1993,61.0,0.0,2,1.0,101101915354
6,310.0,2,2000,99.0,0.0,2,1.0,101102548022
9,330.0,3,2010,91.0,1.0,2,1.0,101101548444
10,950.0,3,2014,130.0,1.0,3,1.0,101102180200
23,445.0,3,2012,93.0,1.0,2,1.0,101102364047
6,650.0,3,2007,164.0,0.0,4,2.0,101102422081
24,330.0,3,2003,84.0,1.0,1,1.0,101102153053
6,298.0,3,1996,67.0,0.0,2,1.0,101102564371
